name_code,kingdom,kingdom_c,phylum,phylum_c,class,class_c,order,order_c,family,family_c,genus,genus_c,name,species,infraspecies_marker,infraspecies,infraspecies2_marker,infraspecies2,author,author2,common_name_c,is_alien,is_invasive,is_cultivated,is_endemic,cites_code,iucn_code,coa_code
405377,Viruses,病毒,,,,,+ssRNA,正鏈RNA病毒,Flaviviridae,黃熱病毒科,Flavivirus,,Flavivirus Dengue virus,Dengue virus,Human Virus,,,,,,登革熱病毒,1,1,0,,,,
405867,Viruses,病毒,,,,,-ssRNA,負鏈RNA病毒,Orthomyxoviridae,正黏液病毒科,Influenzavirus A,,Influenzavirus A Influenza A virus (H5N1 subtype),Influenza A virus (H5N1 subtype),Human Virus,,,,,,H5N1流感,1,1,0,,,,
405470,Viruses,病毒,,,,,+ssRNA,正鏈RNA病毒,Potyviridae,馬鈴薯Y病毒科,Potyvirus,,Potyvirus Papaya ringspot virus,Papaya ringspot virus,Plant Virus,,,,,,木瓜輪點病毒,1,1,0,,,,
144232,Fungi,真菌界,Ascomycota,子囊菌門,Sordariomycetes,糞殼菌綱,Hypocreales,肉座菌目,Nectriaceae,叢赤殼科,Fusarium,,Fusarium oxysporum cubense,oxysporum,f.,cubense,,,Schlechtend: Fr. Emend. Snyder &amp; Hansen,(E. F. Sm.) W. C. Snyder &amp; H. N. Hansen,香蕉分化型尖鐮孢菌,1,1,0,,,,
142114,Fungi,真菌界,Basidiomycota,擔子菌門,Agaricomycetes,傘菌綱,Hymenochaetales,刺革菌目,Hymenochaetaceae,刺革菌科,Phellinus,,Phellinus noxius,noxius,,,,,"(Corner) Cunningham, 1965",,有害木層孔菌;褐根菌,1,1,0,,,,
316551,Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Achatinidae,非洲大蝸牛科,Achatina,,Achatina fulica,fulica,,,,,"Bowdich, 1822",,非洲大蝸牛;褐雲瑪瑙螺;褐雲滑胚瑪瑙螺,1,1,0,,,,
429322,Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Achatinidae,非洲大蝸牛科,Achatina,,Achatina panthera,panthera,,,,,"(Férussac, 1832)",,虎紋非洲大蝸牛,1,1,0,,,,
419435,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Sturnidae,椋鳥科,Acridotheres,,Acridotheres burmannicus,burmannicus,,,,,"(Jerdon, 1862)",,葡萄胸椋鳥,1,1,0,,,LC,
404536,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Sturnidae,椋鳥科,Acridotheres,,Acridotheres javanicus,javanicus,,,,,"Cabanis, 1851",,白尾八哥;爪哇八哥;林八哥;泰國八哥,1,1,0,,,VU,
404537,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Sturnidae,椋鳥科,Acridotheres,,Acridotheres tristis tristis,tristis,,tristis,,,"(Linnaeus, 1766)",,家八哥;泰國八哥;眼鏡八哥,1,1,0,,,LC,
316553,Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Bradybaenidae,扁蝸牛科,Acusta,,Acusta despecta,despecta,,,,,"(Gray, 1839)",,琉球球蝸牛,1,1,0,,,,
339633,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Hemiptera,半翅目,Aleyrodidae,粉蝨科,Aleurodicus,,Aleurodicus dispersus,dispersus,,,,,"Russell, 1965",,螺旋粉蝨,1,1,0,,,,
316716,Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Subulinidae,錐蝸牛科,Allopeas,,Allopeas gracilis,gracilis,,,,,"(Hutton, 1834)",,大錐蝸牛,1,1,0,,,,
316717,Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Subulinidae,錐蝸牛科,Allopeas,,Allopeas javanicum,javanicum,,,,,"(Reeve, 1849)",,爪哇錐蝸牛,1,1,0,,,,
438446,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Cichlidae,麗魚科,Amatitlania,,Amatitlania nigrofasciata,nigrofasciata,,,,,"(Günther, 1867)",,黑帶嬌麗魚,1,1,0,,,DD,
402244,Animalia,動物界,Arthropoda,節肢動物門,Thecostraca,鞘甲綱,Balanomorpha,藤壺目,Balanidae,藤壺科,Amphibalanus,,Amphibalanus amphitrite,amphitrite,,,,,"(Darwin, 1854)",,紋藤壺,1,1,0,,,,
438269,Animalia,動物界,Arthropoda,節肢動物門,Thecostraca,鞘甲綱,Balanomorpha,藤壺目,Balanidae,藤壺科,Amphibalanus,,Amphibalanus eburneus,eburneus,,,,,"(Gould, 1841)",,象牙藤壺,1,1,0,,,,
438270,Animalia,動物界,Arthropoda,節肢動物門,Thecostraca,鞘甲綱,Balanomorpha,藤壺目,Balanidae,藤壺科,Amphibalanus,,Amphibalanus reticulatus,reticulatus,,,,,"(Utinomi, 1967)",,網紋藤壺,1,1,0,,,,
316981,Animalia,動物界,Arthropoda,節肢動物門,Thecostraca,鞘甲綱,Balanomorpha,藤壺目,Balanidae,藤壺科,Amphibalanus,,Amphibalanus variegatus,variegatus,,,,,"(Darwin, 1854)",,雜色紋藤壺,1,1,0,,,,
395487,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Cichlidae,麗魚科,Amphilophus,,Amphilophus citrinellus,citrinellus,,,,,"(Günther, 1864)",,橘色雙冠麗魚;麥達斯冠麗鯛;麥達斯慈鯛,1,1,0,,,LC,
